"area","type","value","CIlow","CIup","period_start","period_end","coverage","data_updated"
"Bedford","P(Cases>50)",0.03,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Bedford","P(Cases>500)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Bedford","P(Cases>500)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Bedford","P(Cases>500)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Bedford","P(Cases>500)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Bedford","P(R>1)",0,NA,NA,"2021-02-21","2021-02-27",NA,"2021-03-07"
"Bedford","R",0.66,0.53,0.79,"2021-03-04","2021-03-04",0.9,"2021-03-07"
"Belfast","Cases",83.8,52.5,122.8,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Belfast","Cases",70.7,33.8,130.9,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Belfast","Cases",61.7,22.4,143.4,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Belfast","Cases",52.4,12.8,154.2,"2021-03-21","2021-03-27",0.9,"2021-03-07"
"Belfast","Infections",157.9,120.6,208,"2021-02-14","2021-02-20",0.9,"2021-03-07"
"Belfast","Infections",135.4,81.8,203.1,"2021-02-21","2021-02-27",0.9,"2021-03-07"
"Belfast","Infections",116.1,51.9,221.5,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Belfast","Infections",97.5,31.3,249,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Belfast","Infections",81.4,19.1,276.7,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Belfast","P(Cases>100)",0.23,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Belfast","P(Cases>100)",0.2,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Belfast","P(Cases>100)",0.19,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Belfast","P(Cases>100)",0.19,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Belfast","P(Cases>20)",1,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Belfast","P(Cases>20)",1,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Belfast","P(Cases>20)",0.97,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Belfast","P(Cases>20)",0.88,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Belfast","P(Cases>200)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Belfast","P(Cases>200)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Belfast","P(Cases>200)",0.01,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Belfast","P(Cases>200)",0.02,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Belfast","P(Cases>300)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Belfast","P(Cases>300)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Belfast","P(Cases>300)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Belfast","P(Cases>300)",0.01,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Belfast","P(Cases>50)",0.97,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Belfast","P(Cases>50)",0.79,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Belfast","P(Cases>50)",0.63,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Belfast","P(Cases>50)",0.52,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Belfast","P(Cases>500)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Belfast","P(Cases>500)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Belfast","P(Cases>500)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Belfast","P(Cases>500)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Belfast","P(R>1)",0.19,NA,NA,"2021-02-21","2021-02-27",NA,"2021-03-07"
"Belfast","R",0.84,0.59,1.12,"2021-03-04","2021-03-04",0.9,"2021-03-07"
"Bexley","Cases",28.7,14.6,49.7,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Bexley","Cases",18.2,6.6,37.1,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Bexley","Cases",11.3,2.5,28.3,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Bexley","Cases",6.9,0.8,22.6,"2021-03-21","2021-03-27",0.9,"2021-03-07"
"Bexley","Infections",89.6,66.6,121.9,"2021-02-14","2021-02-20",0.9,"2021-03-07"
"Bexley","Infections",55.6,35.8,86.8,"2021-02-21","2021-02-27",0.9,"2021-03-07"
"Bexley","Infections",35.2,17.4,66.3,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Bexley","Infections",22.4,8.6,50.8,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Bexley","Infections",14.2,4,39.1,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Bexley","P(Cases>100)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Bexley","P(Cases>100)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Bexley","P(Cases>100)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Bexley","P(Cases>100)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Bexley","P(Cases>20)",0.82,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Bexley","P(Cases>20)",0.42,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Bexley","P(Cases>20)",0.15,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Bexley","P(Cases>20)",0.07,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Bexley","P(Cases>200)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Bexley","P(Cases>200)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Bexley","P(Cases>200)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Bexley","P(Cases>200)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Bexley","P(Cases>300)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Bexley","P(Cases>300)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Bexley","P(Cases>300)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Bexley","P(Cases>300)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Bexley","P(Cases>50)",0.05,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Bexley","P(Cases>50)",0.01,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Bexley","P(Cases>50)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Bexley","P(Cases>50)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Bexley","P(Cases>500)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Bexley","P(Cases>500)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Bexley","P(Cases>500)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Bexley","P(Cases>500)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Bexley","P(R>1)",0,NA,NA,"2021-02-21","2021-02-27",NA,"2021-03-07"
"Bexley","R",0.61,0.45,0.78,"2021-03-04","2021-03-04",0.9,"2021-03-07"
"Blaby","Cases",100.6,60.7,154.4,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Blaby","Cases",81.7,44.8,135.2,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Blaby","Cases",66.7,31.1,119.5,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Blaby","Cases",52.8,21.1,110.5,"2021-03-21","2021-03-27",0.9,"2021-03-07"
"Blaby","Infections",260.8,193.3,370.3,"2021-02-14","2021-02-20",0.9,"2021-03-07"
"Blaby","Infections",212.5,149.2,314.6,"2021-02-21","2021-02-27",0.9,"2021-03-07"
"Blaby","Infections",171.4,113.4,271.4,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Blaby","Infections",137.9,83.9,235.7,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Blaby","Infections",109.9,61.8,211.9,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Blaby","P(Cases>100)",0.51,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blaby","P(Cases>100)",0.27,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blaby","P(Cases>100)",0.14,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blaby","P(Cases>100)",0.07,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blaby","P(Cases>20)",1,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blaby","P(Cases>20)",1,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blaby","P(Cases>20)",0.99,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blaby","P(Cases>20)",0.96,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blaby","P(Cases>200)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blaby","P(Cases>200)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blaby","P(Cases>200)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blaby","P(Cases>200)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blaby","P(Cases>300)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blaby","P(Cases>300)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blaby","P(Cases>300)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blaby","P(Cases>300)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blaby","P(Cases>50)",0.98,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blaby","P(Cases>50)",0.91,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blaby","P(Cases>50)",0.76,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blaby","P(Cases>50)",0.54,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blaby","P(Cases>500)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blaby","P(Cases>500)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blaby","P(Cases>500)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blaby","P(Cases>500)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blaby","P(R>1)",0,NA,NA,"2021-02-21","2021-02-27",NA,"2021-03-07"
"Blaby","R",0.8,0.72,0.9,"2021-03-04","2021-03-04",0.9,"2021-03-07"
"Blackburn with Darwen","Cases",90.6,59.8,137.5,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Blackburn with Darwen","Cases",67.8,34.9,110.1,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Blackburn with Darwen","Cases",47.7,20.1,93.3,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Blackburn with Darwen","Cases",33.6,12.1,81.2,"2021-03-21","2021-03-27",0.9,"2021-03-07"
"Blackburn with Darwen","Infections",257.6,195.6,347.2,"2021-02-14","2021-02-20",0.9,"2021-03-07"
"Blackburn with Darwen","Infections",183.6,129.1,273.6,"2021-02-21","2021-02-27",0.9,"2021-03-07"
"Blackburn with Darwen","Infections",133.5,79.4,225.4,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Blackburn with Darwen","Infections",94.8,48.3,190.2,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Blackburn with Darwen","Infections",68.3,27.8,161.9,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Blackburn with Darwen","P(Cases>100)",0.36,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>100)",0.09,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>100)",0.03,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>100)",0.02,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>20)",1,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>20)",1,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>20)",0.95,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>20)",0.81,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>200)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>200)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>200)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>200)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>300)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>300)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>300)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>300)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>50)",0.99,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>50)",0.79,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>50)",0.47,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>50)",0.25,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>500)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>500)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>500)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blackburn with Darwen","P(Cases>500)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blackburn with Darwen","P(R>1)",0,NA,NA,"2021-02-21","2021-02-27",NA,"2021-03-07"
"Blackburn with Darwen","R",0.7,0.58,0.86,"2021-03-04","2021-03-04",0.9,"2021-03-07"
"Blackpool","Cases",71.1,43.8,106.8,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Blackpool","Cases",56,30.1,92.5,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Blackpool","Cases",42.4,17.9,80.8,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Blackpool","Cases",33,12.9,69.5,"2021-03-21","2021-03-27",0.9,"2021-03-07"
"Blackpool","Infections",337.5,238.2,462.8,"2021-02-14","2021-02-20",0.9,"2021-03-07"
"Blackpool","Infections",264.4,174.2,378.5,"2021-02-21","2021-02-27",0.9,"2021-03-07"
"Blackpool","Infections",206.8,119.8,322.6,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Blackpool","Infections",159.3,82.7,281,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Blackpool","Infections",124.4,54.7,242.6,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Blackpool","P(Cases>100)",0.09,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blackpool","P(Cases>100)",0.03,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blackpool","P(Cases>100)",0.01,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blackpool","P(Cases>100)",0.01,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blackpool","P(Cases>20)",1,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blackpool","P(Cases>20)",0.99,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blackpool","P(Cases>20)",0.93,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blackpool","P(Cases>20)",0.81,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blackpool","P(Cases>200)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blackpool","P(Cases>200)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blackpool","P(Cases>200)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blackpool","P(Cases>200)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blackpool","P(Cases>300)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blackpool","P(Cases>300)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blackpool","P(Cases>300)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blackpool","P(Cases>300)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blackpool","P(Cases>50)",0.89,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blackpool","P(Cases>50)",0.62,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blackpool","P(Cases>50)",0.35,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blackpool","P(Cases>50)",0.23,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blackpool","P(Cases>500)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blackpool","P(Cases>500)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blackpool","P(Cases>500)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blackpool","P(Cases>500)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blackpool","P(R>1)",0,NA,NA,"2021-02-21","2021-02-27",NA,"2021-03-07"
"Blackpool","R",0.77,0.65,0.89,"2021-03-04","2021-03-04",0.9,"2021-03-07"
"Blaenau Gwent","Cases",31.5,4.3,81.6,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Blaenau Gwent","Cases",24.3,1.4,80.2,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Blaenau Gwent","Cases",18.6,0,80.2,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Blaenau Gwent","Cases",14.3,0,84.5,"2021-03-21","2021-03-27",0.9,"2021-03-07"
"Blaenau Gwent","Infections",106.7,56.4,182.2,"2021-02-14","2021-02-20",0.9,"2021-03-07"
"Blaenau Gwent","Infections",85.7,35.3,168.5,"2021-02-21","2021-02-27",0.9,"2021-03-07"
"Blaenau Gwent","Infections",67.1,21.1,178.9,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Blaenau Gwent","Infections",52.6,12.5,191.3,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Blaenau Gwent","Infections",41.3,7,209.3,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Blaenau Gwent","P(Cases>100)",0.02,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>100)",0.02,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>100)",0.03,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>100)",0.04,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>20)",0.72,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>20)",0.6,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>20)",0.49,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>20)",0.4,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>200)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>200)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>200)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>200)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>300)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>300)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>300)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>300)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>50)",0.25,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>50)",0.2,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>50)",0.15,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>50)",0.14,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>500)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>500)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>500)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Blaenau Gwent","P(Cases>500)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Blaenau Gwent","P(R>1)",0.1,NA,NA,"2021-02-21","2021-02-27",NA,"2021-03-07"
"Blaenau Gwent","R",0.77,0.56,1.1,"2021-03-04","2021-03-04",0.9,"2021-03-07"
"Bolsover","Cases",94.3,49,151.9,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Bolsover","Cases",69.2,31.4,125.7,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Bolsover","Cases",50.3,16.3,106.9,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Bolsover","Cases",37.7,8.8,91.8,"2021-03-21","2021-03-27",0.9,"2021-03-07"
"Bolsover","Infections",368.6,252.4,532.8,"2021-02-14","2021-02-20",0.9,"2021-03-07"
"Bolsover","Infections",269.2,163.1,419.4,"2021-02-21","2021-02-27",0.9,"2021-03-07"
"Bolsover","Infections",200.7,102,351.7,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Bolsover","Infections",148.2,63.1,294.8,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Bolsover","Infections",107.4,38.8,249.2,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Bolsover","P(Cases>100)",0.42,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Bolsover","P(Cases>100)",0.17,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Bolsover","P(Cases>100)",0.08,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Bolsover","P(Cases>100)",0.03,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Bolsover","P(Cases>20)",1,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Bolsover","P(Cases>20)",0.99,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Bolsover","P(Cases>20)",0.93,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Bolsover","P(Cases>20)",0.81,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Bolsover","P(Cases>200)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Bolsover","P(Cases>200)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Bolsover","P(Cases>200)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Bolsover","P(Cases>200)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Bolsover","P(Cases>300)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Bolsover","P(Cases>300)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Bolsover","P(Cases>300)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Bolsover","P(Cases>300)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Bolsover","P(Cases>50)",0.94,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Bolsover","P(Cases>50)",0.76,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Bolsover","P(Cases>50)",0.51,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Bolsover","P(Cases>50)",0.31,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Bolsover","P(Cases>500)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Bolsover","P(Cases>500)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Bolsover","P(Cases>500)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Bolsover","P(Cases>500)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Bolsover","P(R>1)",0,NA,NA,"2021-02-21","2021-02-27",NA,"2021-03-07"
"Bolsover","R",0.73,0.58,0.88,"2021-03-04","2021-03-04",0.9,"2021-03-07"
"Bolton","Cases",104.8,73.6,141.9,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Bolton","Cases",67.3,37.2,116.6,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Bolton","Cases",44.5,18.2,98.3,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Bolton","Cases",29.1,7.8,83,"2021-03-21","2021-03-27",0.9,"2021-03-07"
"Bolton","Infections",306.8,240.5,396.4,"2021-02-14","2021-02-20",0.9,"2021-03-07"
"Bolton","Infections",199.6,142.7,288.5,"2021-02-21","2021-02-27",0.9,"2021-03-07"
"Bolton","Infections",131.6,71.1,240.4,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Bolton","Infections",86.5,36,201.3,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Bolton","Infections",58.6,18.2,169,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Bolton","P(Cases>100)",0.58,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Bolton","P(Cases>100)",0.12,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Bolton","P(Cases>100)",0.05,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Bolton","P(Cases>100)",0.02,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Bolton","P(Cases>20)",1,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Bolton","P(Cases>20)",1,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Bolton","P(Cases>20)",0.93,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
